year,paper,affiliations
2018,Bounding and Counting Linear Regions of Deep Neural Networks,Bucknell University
2018,Clipped Action Policy Gradient,"Preferred Networks, Inc."
2018,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,Google Brain Amsterdam
2018,The Hidden Vulnerability of Distributed Learning in Byzantium,École polytechnique & Google Brain
2018,Asynchronous Byzantine Machine Learning (the case of SGD),Facebook
2019,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Technion - Israel Institute of Technology
2019,Manifold Mixup: Better Representations by Interpolating Hidden States,Kanpur Institute of Technology
2019,Processing Megapixel Images with Deep Attention-Sampling Models,Idiap and EPFL
2019,Online Meta-Learning,"Stanford University, Google"
2019,Training Neural Networks with Local Error Signals,
2019,GMNN: Graph Markov Neural Networks,Quebec AI Institute (Mila)
2019,Self-Attention Graph Pooling,Korea University
2019,Combating Label Noise in Deep Learning using Abstention,Computer Scientist @ Los Alamos National Laboratory
2019,Multivariate-Information Adversarial Ensemble for Scalable Joint Distribution Matching,"PhD, Sun Yat-sen University"
2019,High-Fidelity Image Generation With Fewer Labels,"Research Scientist, Google Brain"
2019,Revisiting precision recall definition for generative modeling,CNRS-ENSICAEN-Université Caen
2019,Wasserstein of Wasserstein Loss for Learning Generative Models,UCLA Mathematics
2019,Flat Metric Minimization with Applications in Generative Modeling,"RIKEN Center for Advanced Intelligence Project (AIP), Tokyo, Japan"
2019,Entropic GANs meet VAEs: A Statistical Approach to Compute Sample Likelihoods in GANs,"PhD student at University of Maryland, College Park"
2019,Non-Parametric Priors For Generative Adversarial Networks,Arizona State University
2019,HexaGAN: Generative Adversarial Nets for Real World Classification,Seoul National University
2019,Graph Matching Networks for Learning the Similarity of Graph Structured Objects,"Research Scientist, DeepMind"
2019,Shallow-Deep Networks: Understanding and Mitigating Network Overthinking,"PhD Student at the University of Maryland, College Park"
2019,Graph U-Nets,"Assistant Professor, Department of Computer Science, Iowa State University"
2019,SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver,Carnegie Mellon University
2019,Stochastic Deep Networks,ENS
2019,Making Deep Q-learning methods robust to time discretization,DeepMind
2019,Composing Entropic Policies using Divergence Correction,Twitter
2019,Multi-Agent Adversarial Inverse Reinforcement Learning,"Ph.D. Student, Computer Science Department, Stanford University"
2019,Policy Consolidation for Continual Reinforcement Learning,DeepMind
2019,Off-Policy Deep Reinforcement Learning without Exploration,McGill University
2019,Random Expert Distillation: Imitation Learning via Expert Policy Support Estimation,University College London
2019,An Investigation of Model-Free Planning,Google DeepMind
2019,CURIOUS: Intrinsically Motivated Modular Multi-Goal Reinforcement Learning,Inria
2019,Task-Agnostic Dynamics Priors for Deep Reinforcement Learning,MIT
2019,Diagnosing Bottlenecks in Deep Q-learning Algorithms,UC Berkeley
2019,Collaborative Evolutionary Reinforcement Learning,Applied Scientist II at Microsoft
2019,Imitation Learning from Imperfect Demonstration,UC San Diego
2019,An Investigation into Neural Net Optimization via Hessian Eigenvalue Density,"Software Engineer, Google Research"
2019,Differentiable Linearized ADMM,"Ph.D. Candidate, School of EECS, Peking University"
2019,Adaptive Stochastic Natural Gradient Method for One-Shot Neural Architecture Search,University of Tsukuba
2019,A Quantitative Analysis of the Effect of Batch Normalization on Gradient Descent,Beijing Normal University
2019,AdaGrad stepsizes: sharp convergence over nonconvex landscapes,UT Austin
2019,Beyond Backprop: Online Alternating Minimization with Auxiliary Variables,New York University
2019,SWALP : Stochastic Weight Averaging in Low Precision Training,"PhD, Cornell University"
2019,Efficient optimization of loops and limits with randomized telescoping sums,Princeton University
2019,Adversarial Attacks on Node Embeddings via Graph Poisoning,CISPA Helmholtz Center for Information Security
2019,First-Order Adversarial Vulnerability of Neural Networks and Input Dimension,Max-Planck-Institute for Intelligent Systems
2019,Improving Adversarial Robustness via Promoting Ensemble Diversity,Tsinghua University; Sea AI Lab
2019,Adversarial camera stickers: A physical camera-based attack on deep learning systems,Carnegie Mellon University
2019,Adversarial examples from computational constraints,"Sr Principal Research Manager, ML Foundations group, Microsoft Research"
2019,POPQORN: Quantifying Robustness of Recurrent Neural Networks,Massachusetts Institute of Technology
2019,Using Pre-Training Can Improve Model Robustness and Uncertainty,"PhD Student, UC Berkeley"
2019,Generalized No Free Lunch Theorem for Adversarial Robustness,"Researcher, Facebook AI Research (FAIR)"
2019,PROVEN: Verifying Robustness of Neural Networks with a Probabilistic Approach,MIT
2019,Lexicographic and Depth-Sensitive Margins in Homogeneous and Non-Homogeneous Deep Models,"PhD Student, Technion"
2019,Adversarial Generation of Time-Frequency Features with application in audio synthesis,"Post-doc, ARTORG, University of Bern"
2019,On the Universality of Invariant Networks,NVIDIA Research
2019,Fine-Grained Analysis of Optimization and Generalization for Overparameterized Two-Layer Neural Networks,"Professor of Computer Science, Princeton University"
2019,Gauge Equivariant Convolutional Networks and the Icosahedral CNN,Qualcomm AI Research
2019,Learning to Convolve: A Generalized Weight-Tying Approach,University of Amsterdam
2019,On Dropout and Nuclear Norm Regularization,Johns Hopkins University
2019,Composable Core-sets for Determinant Maximization: A Simple Near-Optimal Algorithm,Toyota Technological Institute at Chicago (TTIC)
2019,Scalable Fair Clustering,Microsoft Research
2019,Conditional Gradient Methods via Stochastic Path-Integrated Differential Estimator,Umeå University
2019, Fault Tolerance in Iterative-Convergent Machine Learning,Carnegie Mellon University
2019,Improving Neural Network Quantization without Retraining using Outlier Channel Splitting,Microsoft
2019,Memory-Optimal Direct Convolutions for Maximizing Classification Accuracy in Embedded Applications,"Graduate Student in Electrical Engineering, Stanford University"
2019,PA-GD: On the Convergence of Perturbed Alternating Gradient Descent to Second-Order Stationary Points for Structured Nonconvex Optimization,"Research Scientist, IBM Thomas J. Watson Research Center, IBM Research AI"
2019,Improved Zeroth-Order Variance Reduced Algorithms and Analysis for Nonconvex Optimization,"Postdoc at the University of Michigan, Ann Arbor"
2019,Faster Stochastic Alternating Direction Method of Multipliers for Nonconvex Optimization,"Postdoctoral Researcher, University of Pittsburgh"
2019,Lower Bounds for Smooth Nonconvex Finite-Sum Optimization,UCLA
2019,Nonconvex Variance Reduced Optimization with Arbitrary Sampling,"PhD Student, KAUST"
2019,Optimal Continuous DR-Submodular Maximization and Applications to Provable Mean Field Inference,Tencent AI Lab
2019,Multiplicative Weights Updates as a distributed constrained optimization algorithm: Convergence to second-order stationary points almost always,"Assistant Professor, University of California, Irvine"
2019,Katalyst: Boosting Convex Katayusha for  Non-Convex Problems with a  Large Condition Number,Cainiao Network
2019,Safe Policy Improvement with Baseline Bootstrapping,Microsoft Research
2019,Distributional Reinforcement Learning for Efficient Exploration,University of Alberta
2019,Optimistic Policy Optimization via Multiple Importance Sampling,Politecnico di Milano
2019,Neural Logic Reinforcement Learning,University College London
2019,Learning to Collaborate in Markov Decision Processes,"Research Group Leader, Max Planck Institute for Software Systems"
2019,Predictor-Corrector Policy Optimization,Microsoft Research
2019,Learning a Prior over Intent via Meta-Inverse Reinforcement Learning,PhD Student at UC Berkeley
2019,DeepMDP: Learning Continuous Latent Space Models for Representation Learning,OpenAI
2019,Importance Sampling Policy Evaluation with an Estimated Behavior Policy,"Assistant Professor, University of Wisconsin--Madison"
2019,Learning from a Learner,Google
2019,Learning Action Representations for Reinforcement Learning,"PhD Candidate, University of Massachusetts, Amherst"
2019,Tighter Problem-Dependent Regret Bounds in Reinforcement Learning without Domain Knowledge using Value Function Bounds,"Postdoctoral Scholar, UC Berkeley"
2019,A Theory of Regularized Markov Decision Processes,"Google Research, Brain Team (on leave of Professor, Université de Lorraine)"
2019,Discovering Options for Exploration by Minimizing Cover Time,Lily MedTech Inc.
2019,Policy Certificates: Towards Accountable Reinforcement Learning,"Research Scientist, Google"
2019,The Value Function Polytope in Reinforcement Learning,Google Brain
2019,Data Shapley:  Equitable Valuation of Data for Machine Learning,PhD Student
2019,Feature Grouping as a Stochastic Regularizer for High-Dimensional Structured Data,Amazon Web Services
2019,Improving Model Selection by Employing the Test Data,Postdoctoral Researcher at Fraunhofer Institute for Digital Medicine MEVIS
2019,On The Power of Curriculum Learning in Training Deep Networks,"PhD student, Hebrew University of Jerusalem"
2019,Voronoi Boundary Classification: A High-Dimensional Geometric Approach via Weighted Monte Carlo Integration,KTH Royal Institute of Technology
2019,Robust Decision Trees Against Adversarial Examples,"PhD, MIT EECS"
2019,"Look Ma, No Latent Variables: Accurate Cutset Networks via Compilation","Postdoctoral Research Associate, University of Texas at Dallas"
2019,Optimal Transport for structured data with application on graphs,IRISA
2019,On Symmetric Losses for Learning from Corrupted Labels,"Researcher, Preferred Networks"
2019,Regularization in directable environments with application to Tetris,University of Bath
2019,Improved Dynamic Graph Learning through Fault-Tolerant Sparsification,"Assistant Professor of Computer Science, University of North Carolina Greensboro"
2019,Heterogeneous Model Reuse via Optimizing Multiparty Multiclass Margin,"Data Scientist, Optiver Shanghai"
2019,Rethinking Lossy Compression: The Rate-Distortion-Perception Tradeoff,Google
2019,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,Waymo Research
2019,Geometry Aware Convolutional Filters for Omnidirectional Images Representation,"PhD, EPFL"
2019,Temporal Gaussian Mixture Layer for Videos,Google Research
2019,Statistical Foundations of Virtual Democracy,Carnegie Mellon University
2019,Optimal Auctions through Deep Learning,Research Scientist at Google
2019,Learning to Clear the Market,Renmin University of China
2019,Open-ended learning in symmetric zero-sum games,XTX Markets
2019,Deep Counterfactual Regret Minimization,"Research Scientist, Facebook AI Research"
2019,Generalized Approximate Survey Propagation for High-Dimensional Estimation,"Assistant Professor, Bocconi University"
2019,Boosted Density Estimation Remastered,University of Tübingen
2019,Neural Joint Source-Channel Coding,Stanford University
2019,Phaseless PCA: Low-Rank Matrix Recovery from Column-wise Phaseless Measurements,Ph.D. Candidate
2019,Rate Distortion For Model Compression:From Theory To Practice,ByteDance Inc
2019,Formal Privacy for Functional Data with Gaussian Perturbations,"Sr Expert Data Science, Novartis"
2019,White-box vs Black-box: Bayes Optimal Strategies for Membership Inference,Facebook
2019,Sublinear Space Private Algorithms Under the Sliding Window Model,"Researcher, Apple"
2019,Low Latency Privacy Preserving Inference,Tel Aviv University
2019,Benefits and Pitfalls of the Exponential Mechanism with Applications to Hilbert Spaces and Functional PCA,"Assistant Professor, Purdue University"
2019,Refined Complexity of PCA with Outliers,"Postdoc, TU Wien"
2019,Passed & Spurious: Descent Algorithms and Local Minima in Spiked Matrix-Tensor Models,Gatsby Computational Neuroscience Unit & Sainsbury Wellcome Centre | University College …
2019,Online learning with kernel losses,"Postdoctoral Researcher, Department of Computer Science, Stanford University"
2019,Fast Rates for a kNN Classifier Robust to Unknown Asymmetric Label Noise,University of Bristol
2019,Maximum Likelihood Estimation for  Learning Populations of Parameters,"Assistant Professor, UW-Madison"
2019,A Conditional-Gradient-Based Augmented Lagrangian Framework,Umeå University
2019,Decentralized Stochastic Optimization and Gossip Algorithms with Compressed Communication,"PhD student, EPFL"
2019,Safe Grid Search with Optimal Complexity,Postdoctoral Fellow at Georgia Institute of Technology
2019,CapsAndRuns: An Improved Method for Approximately Optimal Algorithm Configuration,DeepMind
2019,Training Well-Generalizing Classifiers for Fairness Metrics and Other Data-Dependent Constraints,Google Research
2019,The Implicit Fairness Criterion of Unconstrained Learning,"Computer Science, UC Berkeley"
2019,Calibrated Approximate Bayesian Inference,University of Oxford
2019,Amortized Monte Carlo Integration,"PhD student, University of Oxford"
2019,Stein Point Markov Chain Monte Carlo,The University of Sydney
2019,Particle Flow Bayes' Rule,Georgia Institution of Technology
2019,Learning deep kernels for exponential family densities,"Gatsby Unit, University College London"
2019,A Kernel Perspective for Regularizing Deep Neural Networks,NYU
2019,Rehashing Kernel Evaluation in High Dimensions,"Quantitative Researcher, PhD Stanford University"
2019,Large-Scale Sparse Kernel Canonical Correlation Analysis,Data Scientist at Elisa
2019,A Kernel Theory of Modern Data Augmentation,"Computer Science, Stanford University"
2019,Scalable Learning in Reproducing Kernel Krein Spaces,AstraZeneca Cambridge
2019,Dirichlet Simplex Nest and Geometric Inference,"Research Staff Member, IBM Research AI"
2019,Neurally-Guided Structure Inference,"University of California, Los Angeles"
2019,Rotation Invariant Householder Parameterization for Bayesian PCA,Goethe University Frankfurt am Main
2019,A Framework for Bayesian Optimization in Embedded Subspaces,University of Arizona
2019,Active Learning for Decision-Making from Imbalanced Observational Data,Doctoral Student at Aalto University
2019,"Ithemal: Accurate, Portable and Fast Basic Block Throughput Estimation using Deep Neural Networks",University of Illinois at Urbana-Champaign
2019,Learning to Groove with Inverse Sequence Transformations,UC Berkeley
2019,Grid-Wise Control for Multi-Agent Reinforcement Learning in Video Game AI,Tencent AI Lab
2019,Molecular Hypergraph Grammar with Its Application to Molecular Optimization,IBM Research - Tokyo
2019,Graph Neural Network for Music Score Data and Modeling Expressive Piano Performance,Sogang University
2019,Learning to Prove Theorems via Interacting with Proof Assistants,Princeton University
2019,Learning to Optimize Multigrid PDE Solvers,Jether Energy Research
2019,A Block Coordinate Descent Proximal Method for Simultaneous Filtering and Parameter Estimation,Rakuten
2019,Learning Hawkes Processes Under Synchronization Noise,"PhD student, EPFL"
2019,Generative Adversarial User Model for Reinforcement Learning Based Recommendation System,Georgia Institution of Technology
2019,A Statistical Investigation of Long Memory in Language and Music,University of Washington
2019,Deep Factors for Forecasting,"Principal Scientist, AWS AI"
2019,Weakly-Supervised Temporal Localization via Occurrence Count Learning,McGill / Mila
2019,Switching Linear Dynamics for Variational Bayes Filtering,"PhD Student, Volkswagen and IAS Darmstadt"
2019,Imputing Missing Events in Continuous-Time Event Streams,"Johns Hopkins University, Toyota Technology Institute at Chicago, The University of …"
2019,Understanding and Controlling Memory in Recurrent Neural Networks,"PhD Student, Weill Cornell Medical School"
2019,Subspace Robust Wasserstein Distances,"Postdoctoral researcher, CNRS"
2019,Decomposing feature-level variation with Covariate Gaussian Process Latent Variable Models,University of Oxford
2019,Active Manifolds: A non-linear analogue to Active Subspaces,"Research Mathematician, Oak Ridge National Laboratory"
2019,Optimal Minimal Margin Maximization with Boosting,"Ph. D. student, Aarhus University"
2019,Variational Inference for sparse network reconstruction from count data,"Université Paris-Saclay, INRAE, AgroParisTech"
2019,Robust Influence Maximization for Hyperparametric Models,"PhD student, Harvard University"
2019,"HyperGAN: A Generative Model for Diverse, Performant Neural Networks",Oregon State University
2019,Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations,"Senior Applied Scientist, Amazon AWS"
2019,A Wrapped Normal Distribution on Hyperbolic Space for Gradient-Based Learning,The University of Tokyo
2019,Emerging Convolutions for Generative Normalizing Flows,"PhD Student, University of Amsterdam"
2019,A Large-Scale Study on Regularization and Normalization in GANs,Google Brain
2019,Variational Annealing of GANs: A Langevin Perspective,"Applied Scientist, Amazon; Prior Senior Research Associate, Duke University (Statistics and …"
2019,Invertible Residual Networks,Apple AI/ML Research
2019,NAS-Bench-101: Towards Reproducible Neural Architecture Search,Ambient.ai
2019,Sorting Out Lipschitz Function Approximation,University of Toronto; Vector Institute
2019,"Graph Element Networks: adaptive, structured computation and memory",MIT
2019,Training CNNs with Selective Allocation of Channels,"Ph.D. student, KAIST"
2019,Equivariant Transformer Networks,Stanford University
2019,Bayesian Nonparametric Federated Learning of Neural Networks,"Research Staff Member, IBM Research AI"
2019,How does Disagreement Help Generalization against Label Corruption?,"Ph.D Student, University of Technology Sydney (UTS)"
2019,EigenDamage: Structured Pruning in the Kronecker-Factored Eigenbasis,Ph.D. student at University of Chicago
2019,Cheap Orthogonal Constraints in Neural Networks: A Simple Parametrization of the Orthogonal and Unitary Group,University of Oxford
2019,Understanding the Impact of Entropy on Policy Optimization,DeepMind
2019,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,"Google Research, UC Berkeley"
2019,Dimension-Wise Importance Sampling Weight Clipping for Sample-Efficient Reinforcement Learning,KAIST
2019,Structured agents for physical construction,"Goethe Universität, Frankfurt"
2019,Self-Supervised Exploration via Disagreement,"Assistant Professor, Carnegie Mellon University"
2019,Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables,UC Berkeley
2019,The Natural Language of Actions,"Phd Student, Technion"
2019,Trajectory-Based Off-Policy Deep Reinforcement Learning,"Research Scientist, Bosch Center for Artificial Intelligence, Max Planck Institut IS"
2019,Model-Based Active Exploration,OpenAI
2019,Remember and Forget for Experience Replay,ETH Zurich
2019,Tensor Variable Elimination for Plated Factor Graphs,Broad Institute of MIT and Harvard
2019,Predicate Exchange: Inference with Declarative Knowledge,MIT
2019,CompILE: Compositional Imitation Learning and Execution,"Research Scientist, Google Brain"
2019,Sparse Multi-Channel Variational Autoencoder for the Joint Analysis of Heterogeneous Data,"Université Côte d'Azur, Inria Sophia Antipolis, Epione Project Team"
2019,Flow++: Improving Flow-Based Generative Models with Variational Dequantization and Architecture Design,Google Brain
2019,ME-Net: Towards Effective Adversarial Robustness with Matrix Estimation,"Ph.D. Student, MIT"
2019,Parsimonious Black-Box Adversarial Attacks via Efficient Combinatorial Optimization,Seoul National University
2019,Causal Identification under Markov Equivalence: Completeness Results,"PhD Student, Purdue University"
2019,Counterfactual Off-Policy Evaluation with Gumbel-Max Structural Causal Models,MIT
2019,Causal Discovery and Forecasting in Nonstationary Environments with State-Space Models,Carnegie Mellon University
2019,Sensitivity Analysis of Linear Structural Causal Models,University of Washington
2019,More Efficient Off-Policy Evaluation through Regularized Targeted Learning,"Senior Research Scientist, Netflix"
2019,Adaptive Neural Trees,Microsoft Research; University College London
2019,Connectivity-Optimized Representation Learning via Persistent Homology,"PostDoc,  University of Salzburg"
2019,Minimal Achievable Sufficient Statistic Learning,Caltech
2019,Learning to Route in Similarity Graphs,Yandex Research
2019,Invariant-Equivariant Representation Learning for Multi-Class Data,"Director of AI, Faculty"
2019,Infinite Mixture Prototypes for Few-shot Learning,"PhD Student, MIT"
2019,MixHop: Higher-Order Graph Convolutional Architectures via Sparsified Neighborhood Mixing,"PhD Student, USC"
2019,Learn to Grow: A Continual Structure Learning Framework for Overcoming Catastrophic Forgetting,Amazon
2019,Complexity of Linear Regions in Deep Networks,"Assistant Professor, Princeton ORFE"
2019,Adversarial Examples Are a Natural Consequence of Test Error in Noise,Google
2019,Greedy Layerwise Learning Can Scale To ImageNet,"Assistant Professor, Concordia University and Mila Quebec AI Institute"
2019,On the Impact of the Activation function on Deep Neural Networks Training,"Department of Statistics, University of Oxford"
2019,Estimating Information Flow in Deep Neural Networks,Cornell University
2019,The Anisotropic Noise in Stochastic Gradient Descent: Its Behavior of Escaping from Sharp Minima and Regularization Effects,
2019,Characterizing Well-Behaved vs. Pathological Deep Neural Networks,Research Scientist
2019,Generalized Majorization-Minimization,Google Research (Machine Perception)
2019,Surrogate Losses for Online Learning of Stepsizes in Stochastic Non-Convex Optimization,Boston University
2019,Efficient Dictionary Learning with Gradient Descent,Harvard University
2019,Plug-and-Play Methods Provably Converge with Properly Trained Denoisers,Seoul National University
2019,Riemannian adaptive stochastic gradient algorithms on matrix manifolds,"WASEDA University, JAPAN"
2019,Alternating Minimizations Converge to Second-Order Optimal Solutions,"Hedrick Assistant Professor, UCLA"
2019,Dead-ends and Secure Exploration in Reinforcement Learning,Microsoft Research
2019,Hessian Aided Policy Gradient,University of Pennsylvania
2019,Combining parametric and nonparametric models for off-policy evaluation,Brown University
2019,Transfer of Samples in Policy Search via Multiple Importance Sampling,Inria Lille
2019,Optimal Algorithms for Lipschitz Bandits with Heavy-tailed Rewards,Nanjing University
2019,Target Tracking for Contextual Bandits: Application to Demand Side Management,"EDF R&D, Université Paris Sud, Inria Paris"
2019,Correlated bandits or: How to minimize mean-squared error online,LinkedIn
2019,Stay With Me: Lifetime Maximization Through Heteroscedastic Linear Bandits With Reneging,"Assistant Professor, National Chiao Tung University"
2019,Beating Stochastic and Adversarial Semi-bandits Optimally and Simultaneously,University of Copenhagen
2019,Bilinear Bandits with Low-rank Structure ,The University of Arizona
2019,Dynamic Learning with Frequent New Product Launches: A Sequential Multinomial Logit Bandit Problem,"McCombs School of Business, The University of Texas at Austin"
2019,Context-Aware Zero-Shot Learning for Object Recognition,valeo.ai
2019,Band-limited Training and Inference for Convolutional Neural Networks,Vector Institute and The University of Toronto
2019,Learning Classifiers for Target Domain with Limited or No Labels,"PhD Candidate, Electrical and Computer Engineering, Boston University"
2019,Do ImageNet Classifiers Generalize to ImageNet?,"Associate Professor of EECS, University of California, Berkeley"
2019,Sever: A Robust Meta-Algorithm for Stochastic Optimization,University of Wisconsin-Madison
2019,Analyzing Federated Learning through an Adversarial Lens,"Postdoctoral Scholar, University of Chicago"
2019,Fairwashing: the risk of rationalization,École de Technologie Supérieure de Montréal
2019,Understanding the Origins of Bias in Word Embeddings,University of Toronto
2019,Counterfactual Visual Explanations,"Research Scientist, Samsung -- SAIT AI Lab, Montreal"
2019,On the Convergence and Robustness of Adversarial Training,"Assistant Professor, Peking University"
2019,Learning with Bad Training Data via Iterative Trimmed Loss Minimization,University of Texas at Austin
2019,Does Data Augmentation Lead to Positive Margin?,"Graduate Student, University of Wisconsin - Madison"
2019,Robust Learning from Untrusted Sources,"PhD Student, Institute of Science and Technology Austria (IST Austria)"
2019,SELFIE: Refurbishing Unclean Samples for Robust Deep Learning,NAVER AI Lab
2019,SELFIE: Refurbishing Unclean Samples for Robust Deep Learning,NAVER AI Lab
2019,Zeno: Distributed Stochastic Gradient Descent with Suspicion-based Fault-tolerance,University of Illinois at Urbana-Champaign
2019,Data Poisoning Attacks in Multi-Party Learning,Princeton University
2019,Beyond Adaptive Submodularity: Approximation Guarantees of Greedy Policy with Adaptive Submodularity Ratio,National Institute of Informatics
2019,Approximating Orthogonal Matrices with Effective Givens Factorization,Technical University of Munich
2019,Submodular Observation Selection and Information Gathering for Quadratic Models,"Assistant Professor of ECE, Purdue University"
2019,"Submodular Streaming in All Its Glory: Tight Approximation, Minimum Memory and Low Adaptive Complexity",Google
2019,Hiring Under Uncertainty,Google
2019,Position-aware Graph Neural Networks,"CS PhD candidate, Stanford University"
2019,Learning Generative Models across Incomparable Spaces,"PhD Student, ETH Zürich"
2019,Open Vocabulary Learning on Source Code with a Graph-Structured Cache,Caltech
2019,Learning Discrete Structures for Graph Neural Networks,University College London - Istituto Italiano di Tecnologia
2019,A Recurrent Neural Cascade-based Model for Continuous-Time Diffusion,
2019,Stochastic Gradient Push for Distributed Deep Learning,PhD student at McGill University; Mila
2019,Trading Redundancy for Communication: Speeding up Distributed SGD for Non-convex Optimization,"Postdoctoral Researcher, Yale University, Pennsylvania State University"
2019,Compressed Factorization: Fast and Accurate Low-Rank Factorization of Compressively-Sensed Data,Stanford University
2019,Monge blunts Bayes: Hardness Results for Adversarial Training,University of Tübingen
2019,Near optimal finite time identification of arbitrary linear dynamical systems,MIT
2019,Orthogonal Random Forest for Causal Inference,Microsoft Research
2019,On the statistical rate of nonlinear recovery in generative models with heavy-tailed data,Facebook
2019,Accelerated Linear Convergence of Stochastic Momentum Methods in Wasserstein Distances,Rutgers University
2019,SGD without Replacement: Sharper Rates for General Smooth Convex Functions,"Graduate Student, MIT"
2019,Random Shuffling Beats SGD after Finite Epochs,"PhD Student, Stanford University"
2019,Optimal Mini-Batch and Step Sizes for SAGA,Télécom Paris
2019,Asynchronous Batch Bayesian Optimisation with Improved Local Penalisation,University of Oxford
2019,Overcoming Mean-Field Approximations in Recurrent Gaussian Process Models,University of Cambridge - Max-Planck Institute for Intelligent Systems
2019,AReS and MaRS - Adversarial and MMD-Minimizing Regression for SDEs,"Machine Learning Quant, Man AHL"
2019,Deep Gaussian Processes with Importance-Weighted Variational Inference,Imperial College London
2019,Beyond the Chinese Restaurant and Pitman-Yor processes: Statistical Models with double power-law behavior,"Department of Statistics, University of Oxford"
2019,Random Function Priors for Correlation Modeling,ByteDance
2019,Scalable Training of Inference Networks for Gaussian-Process Models,"Postdoctoral Researcher, Microsoft Research"
2019,Bayesian Optimization Meets Bayesian Optimal Stopping,"Research Fellow, Department of Computer Science, National University of Singapore"
2019,Learning interpretable continuous-time models of latent stochastic dynamical systems,Stanford University
2019,A Tree-Based Method for Fast Repeated Sampling of Determinantal Point Processes,Google Research NYC
2019,Nonlinear Stein Variational Gradient Descent for Learning Diversified Mixture Models,Facebook
2019,Efficient learning of smooth probability functions from Bernoulli tests with guarantees,EPFL
2019,Scalable Nonparametric Sampling from Multimodal Posteriors with the Posterior Bootstrap,"PhD Student in Statistics, University Of Oxford"
2019,An Instability in Variational Inference for Topic Models,"Software Engineer, Google Research"
2019,Bayesian Optimization of Composite Functions,"Ph.D. Student, Cornell University"
2019,Quantile Stein Variational Gradient Descent for Batch  Bayesian Optimization,University of Texas at Austin
2019,Fast and Flexible Inference of Joint Distributions from their Marginals,"Postdoctoral Associate, Massachusetts Institute of Technology"
2019,Direct Uncertainty Prediction for Medical Second Opinions,Cornell University and Google Brain
2019,Dynamic Measurement Scheduling for Event Forecasting using Deep RL,University of Toronto
2019,Parameter efficient training of deep convolutional neural networks by dynamic sparse reparameterization,"Research scientist, Intel Corporation"
2019,Domain Agnostic Learning with Disentangled Representations,Microsoft Corporation
2019,Composing Value Functions in Reinforcement Learning,Stellenbosch University
2019,Fast Context Adaptation via Meta-Learning,University of Oxford
2019,Towards Understanding Knowledge Distillation,IST Austria
2019,Learning-to-Learn Stochastic Gradient Descent with Biased Regularization,University College of London
2019,BERT and PALs: Projected Attention Layers for Efficient Adaptation in Multi-Task Learning,"PhD student, University of Edinburgh"
2019,Towards Accurate Model Selection in Deep Unsupervised Domain Adaptation,PhD student at Tsinghua University
2019,Active Embedding Search via Noisy Paired Comparisons,University of Wisconsin-Madison
2019,Active Learning for Probabilistic Structured Prediction of Cuts and Matchings,Carnegie Mellon University
2019,Co-manifold learning with missing data,"Assistant Professor, UC San Diego"
2019,Hybrid Models with Deep and Invertible Features,"Assistant Professor, University of Amsterdam"
2019,State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations,"Microsoft Research (NYC), Université de Montréal, Google Brain, Amazon, Twitch PhD …"
2019,Variational Laplace Autoencoders,Columbia University
2019,Latent Normalizing Flows for Discrete Sequences,Harvard University
2019,Multi-objective training of Generative Adversarial Networks with multiple discriminators,Institut National de la Recherche Scientifique
2019,Bit-Swap: Recursive Bits-Back Coding for Lossless Compression with Hierarchical Latent Variables,"Erasmus University of Rotterdam, UC Berkeley"
2019,Graphite: Iterative Generative Modeling of Graphs,"Assistant Professor of Computer Science, UCLA"
2019,MIWAE: Deep Generative Modelling and Imputation of Incomplete Data Sets,"Research scientist, Inria"
2019,On Scalable and Efficient Computation of Large Scale Optimal Transport,"Researcher in machine learning, Microsoft"
2019,Understanding and correcting pathologies in the training of learned optimizers,Google Brain
2019,Demystifying Dropout,Temple University
2019,Unreproducible Research is Reproducible,Université de Montréal
2019,Robust Inference via Generative Classifiers for Handling Noisy Labels,"Postdoc, UC Berkeley"
2019,LIT: Learned Intermediate Representation Training for Model Compression,Stanford University
2019,Analyzing and Improving Representations with the Soft Nearest Neighbor Loss,
2019,Similarity of Neural Network Representations Revisited,Google Brain
2019,Learning Fast Algorithms for Linear Transforms Using Butterfly Factorizations,"Computer Science, Stanford University"
2019,"Distributed, Egocentric Representations of Graphs for Detecting Critical Structures",KTH PhD
2019,Multi-Object Representation Learning with Iterative Variational Inference,"Machine Learning PhD Student, Università della Svizzera Italiana"
2019,Loss Landscapes of Regularized Linear Autoencoders,Stanford University
2019,Quantifying Generalization in Reinforcement Learning,"Research Scientist, OpenAI"
2019,Learning Latent Dynamics for Planning from Pixels,Google Brain & University of Toronto
2019,Projections for Approximate Policy Iteration Algorithms,IAS - TU Darmstadt
2019,Learning Structured Decision Problems with Unawareness,University of Edinburgh
2019,Reinforcement Learning in Configurable Continuous Environments,"Postdoctoral Researcher, Politecnico di Milano"
