year,paper,affiliations
2018,Show Me a Story: Towards Coherent Neural Story Illustration,Adobe
2018,Fast Spectral Ranking for Similarity Search,Google
2018,Mining on Manifolds: Metric Learning Without Labels,Google
2018,Differential Attention for Visual Question Answering,"@KU Leuven, Prev: Google, Microsoft, Samsung, Harman,  IITK, IITB."
2018,Toward Driving Scene Understanding: A Dataset for Learning Driver Behavior and Causal Reasoning,Boston University
2018,Learning Attribute Representations With Localization for Flexible Fashion Search,"Research Scientist (PhD), Institute for Infocomm Research, A*STAR, Singapore"
2018,Bidirectional Retrieval Made Simple,"PUC-Rio, Kunumi, Teia Labs"
2018,Beyond Trade-Off: Accelerate FCN-Based Face Detector With Higher Accuracy,Senior Researcher @Sensetime Base Model
2018,PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning,"NVIDIA (Ph.D. - University of Illinois at Urbana-Champaign, B.Tech. - IIT Kharagpur)"
2018,Neural Sign Language Translation,"CVSSP, University of Surrey"
2018,Non-Local Neural Networks,"Assistant Professor, UC San Diego"
2018,Learning Compressible 360° Video Isomers,University of Texas at Austin
2018,What Have We Learned From Deep Representations for Action Recognition?,"Research Scientist, Facebook AI Research (FAIR)"
2018,Controllable Video Generation With Sparse Trajectories,"PhD student, Cornell University"
2018,Inference in Higher Order MRF-MAP Problems With Small and Large Cliques,NUS Singapore
2018,ROAD: Reality Oriented Adaptation for Semantic Segmentation of Urban Scenes,Facebook
2018,Eye In-Painting With Exemplar Generative Adversarial Networks,"Staff Machine Learning Engineer, Reddit"
2018,Towards Effective Low-Bitwidth Convolutional Neural Networks,"Assistant Professor, Monash University"
2018,Stochastic Downsampling for Cost-Adjustable Inference and Improved Regularization in Convolutional Networks,Adobe Research
2018,Tagging Like Humans: Diverse and Distinct Image Annotation,"Associate Professor, CUHK-SZ"
2018,Re-Weighted Adversarial Adaptation Network for Unsupervised Domain Adaptation,"Assistant Professor, Peking University"
2018,Regularizing RNNs for Caption Generation by Reconstructing the Past With the Present,Alibaba Group
2018,Unsupervised Domain Adaptation With Similarity Learning,Deep Genomics
2018,Learning Deep Sketch Abstraction,"University of Brescia, Queen Mary University of London, University of Surrey"
2018,Matching Adversarial Networks,Continental ADAS
2018,Learning and Using the Arrow of Time,"Assistant Professor, Boston College"
2018,Neural Style Transfer via Meta Networks,Peking University
2018,"People, Penguins and Petri Dishes: Adapting Object Counting Models to New Visual Domains and Object Types Without Forgetting","Postdoctoral Scholar, Marcu Laboratory, UC Davis"
2018,HydraNets: Specialized Dynamic Architectures for Efficient Inference,Carnegie Mellon University
2018,Efficient Parametrization of Multi-Domain Deep Neural Networks,DeepMind
2018,Deep Density Clustering of Unconstrained Faces,Adobe
2018,Geometric Multi-Model Fitting With a Convex Relaxation Algorithm,"Lecturer, University Of Cape Town"
2018,Efficient Subpixel Refinement With Symbolic Linear Predictors,4DMedical Limited
2018,DeblurGAN: Blind Motion Deblurring Using Conditional Adversarial Networks,"Student, Ukrainian Catholic Univeristy"
2018,A2-RL: Aesthetics Aware Reinforcement Learning for Image Cropping,meituan
2018,On the Duality Between Retinex and Image Dehazing,"Senior Lecturer on Data Science for Medical Imaging, University of Bournemouth"
2018,Arbitrary Style Transfer With Deep Feature Reshuffle,USTC
2018,Missing Slice Recovery for Tensors Using a Low-Rank Model in Embedded Space,"Nagoya Institute of Technology, RIKEN Center for Advanced Intelligence Project (AIP), JST …"
2018,Deep Semantic Face Deblurring,Inception Institute of Artificial Intelligence
2018,GraphBit: Bitwise Interaction Mining via Deep Reinforcement Learning,Stanford University
2018,Recurrent Saliency Transformation Network: Incorporating Multi-Stage Visual Cues for Small Organ Segmentation,Johns Hopkins University
2018,Visual Feature Attribution Using Wasserstein GANs,University of Tübingen
2018,"Total Capture: A 3D Deformation Model for Tracking Faces, Hands, and Bodies","Research Scientist, Facebook AI Research"
2018,Augmented Skeleton Space Transfer for Depth-Based Hand Pose Estimation,"Assistant Professor, UNIST"
2018,Synthesizing Images of Humans in Unseen Poses,Massachusetts Institute of Technology
2018,Detecting and Recognizing Human-Object Interactions,"UC Berkeley, Facebook AI Research"
2018,Unsupervised Learning and Segmentation of Complex Activities From Video,Universität Bonn
2018,Unsupervised Training for 3D Morphable Model Regression,"Research Scientist, Google"
2018,Video Based Reconstruction of 3D People Models,Google Research
2018,Hand PointNet: 3D Hand Pose Estimation Using Point Sets,"PhD, Nanyang Technological University"
2018,Seeing Voices and Hearing Faces: Cross-Modal Biometric Matching,"Research Scientist, Google"
2018,Learning Monocular 3D Human Pose Estimation From Multi-View Images,Assistant Professor at UBC
2018,TextureGAN: Controlling Deep Image Synthesis With Texture Patches,Cornell University
2018,Connecting Pixels to Privacy and Utility: Automatic Redaction of Private Information in Images,Qualcomm AI Research
2018,MapNet: An Allocentric Spatial Memory for Mapping Environments,"Visual Geometry Group, University of Oxford"
2018,Accurate and Diverse Sampling of Sequences Based on a “Best of Many” Sample Objective,University of Tübingen
2018,VirtualHome: Simulating Household Activities via Programs,"PhD Student, MIT"
2018,Generate to Adapt: Aligning Domains Using Generative Adversarial Networks,"Postdoctoral Associate, CSAIL, MIT"
2018,“Learning-Compression” Algorithms for Neural Net Pruning,"Professor of Computer Science, University of California, Merced"
2018,Guide Me: Interacting With Deep Networks,"Departmental Lecturer, University of Oxford"
2018,Art of Singular Vectors and Universal Adversarial Perturbations,"PhD student, Skoltech"
2018,MovieGraphs: Towards Understanding Human-Centric Situations From Videos,University of Toronto & Vector Institute
2018,Benchmarking 6DOF Outdoor Visual Localization in Changing Conditions,"Senior Researcher, Czech Technical University in Prague"
2018,Unsupervised Person Image Synthesis in Arbitrary Poses,Facebook Reality Labs
2018,Learning Descriptor Networks for 3D Shape Synthesis and Analysis,"Senior Research Scientist, Baidu Research, USA"
2018,Neural Kinematic Networks for Unsupervised Motion Retargetting,"Research Scientist, Google Brain"
2018,Learning Compositional Visual Concepts With Mutual Consistency,Cornell University
2018,Iterative Learning With Open-Set Noisy Labels,"Assistant Professor, Peking University"
2018,Learning Transferable Architectures for Scalable Image Recognition,"Staff Research Scientist, Google Brain"
2018,SBNet: Sparse Blocks Network for Fast Inference,University of Toronto
2018,Net2Vec: Quantifying and Explaining How Concepts Are Encoded by Filters in Deep Neural Networks,Princeton University
2018,End-to-End Dense Video Captioning With Masked Transformer,"Senior Researcher, Microsoft"
2018,A Neural Multi-Sequence Alignment TeCHnique (NeuMATCH),"Postdoctoral Researcher in Computer Science, ETHZ"
2018,The INaturalist Species Classification and Detection Dataset,Caltech
2018,StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation,NAVER AI Lab
2018,High-Resolution Image Synthesis and Semantic Manipulation With Conditional GANs,NVIDIA Research
2018,Semi-Parametric Image Synthesis,"Assistant Professor, The University of Hong Kong"
2018,BlockDrop: Dynamic Inference Paths in Residual Networks,Fudan University
2018,Interpretable Convolutional Neural Networks,"Shanghai Jiao Tong University, Interpretable Machine Learning"
2018,Detach and Adapt: Learning Cross-Domain Disentangled Deep Representation,Georgia Institute of Technology
2018,Smooth Neighbors on Teacher Graphs for Semi-Supervised Learning,Max Planck Institute for Intelligent Systems
2018,Deep Spatio-Temporal Random Fields for Efficient Video Segmentation,Amazon Lab 126
2018,"PWC-Net: CNNs for Optical Flow Using Pyramid, Warping, and Cost Volume","Research Scientist, Google"
2018,Revisiting Deep Intrinsic Image Decompositions,Tencent AI Lab
2018,Multi-Cell Detection and Classification Using a Generative Convolutional Model,"Kitware, Inc."
2018,LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,The Chinese University of Hong Kong
2018,VITAL: VIsual Tracking via Adversarial Learning,Tencent AI Lab
2018,Super SloMo: High Quality Estimation of Multiple Intermediate Frames for Video Interpolation,"Assistant Professor, Northeastern University"
2018,"Real-World Repetition Estimation by Div, Grad and Curl",Apple Inc.
2018,Learning Intrinsic Image Decomposition From Watching the World,Cornell University
2018,Generating Synthetic X-Ray Images of a Person From the Surface Geometry,Siemens Healthineers
2018,Analytic Expressions for Probabilistic Moments of PL-DNN With Gaussian Input,University of Oxford
2018,Detail-Preserving Pooling in Deep Networks,"PhD student, TU Darmstadt"
2018,Rethinking Feature Distribution for Loss Functions in Image Classification,"Ph.D. student, Tsinghua University"
2018,"Shift: A Zero FLOP, Zero Parameter Alternative to Spatial Convolutions","Facebook Reality Labs, UC Berkeley"
2018,Light Field Intrinsics With a Deep Encoder-Decoder Network,University of Konstanz
2018,Learning Generative ConvNets via Multi-Grid Modeling and Sampling,"Research Scientist, Google Brain"
2018,Manifold Learning in Quotient Spaces,Dassault Systèmes
2018,Learning Intelligent Dialogs for Bounding Box Annotation,"Research Scientist, DeepMind"
2018,Boosting Adversarial Attacks With Momentum,Tsinghua University
2018,NISP: Pruning Networks Using Neuron Importance Score Propagation,Waymo LLC
2018,Tell Me Where to Look: Guided Attention Inference Network,"Research Scientist, Facebook Reality Labs (FRL)"
2018,3D Semantic Segmentation With Submanifold Sparse Convolutional Networks,Facebook AI Research
2018,Translating and Segmenting Multimodal Medical Volumes With Cycle- and Shape-Consistency Generative Adversarial Network,Google
2018,An Unsupervised Learning Model for Deformable Medical Image Registration,Massachusetts Institute of Technology
2018,3D Registration of Curves and Surfaces Using Local Differential Information,Perceive3D
2018,Guided Proofreading of Automatic Segmentations for Connectomics,University of Massachusetts Boston
2018,Learning Structure and Strength of CNN Filters for Small Sample Size Training,Applied Scientist @ Amazon | PhD from IIIT Delhi
2018,The Power of Ensembles for Active Learning in Image Classification,Bosch Center for Artificial Intelligence
2018,Learning Compact Recurrent Neural Networks With Block-Term Tensor Decomposition,University of Electronic Science and Technology of China
2018,Spatially-Adaptive Filter Units for Deep Neural Networks,"PhD researcher at University of Ljubljana, Faculty of Computer and Information Science"
2018,SO-Net: Self-Organizing Network for Point Cloud Analysis,"x-speed transportation,inc"
2018,SGAN: An Alternative Training of Generative Adversarial Networks,University of California Berkeley
2018,SketchyGAN: Towards Diverse and Realistic Sketch to Image Synthesis,"Master Student, Georgia Institute of Technology"
2018,Explicit Loss-Error-Aware Quantization for Low-Bit Deep Neural Networks,SenseTime
2018,Deep Image Prior,PhD @ Skolkovo Institute of Science and Technology
2018,ST-GAN: Spatial Transformer Generative Adversarial Networks for Image Compositing,NVIDIA Research
2019,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning,Research scientist at valeo.ai
2019,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,"Professor of Computer Science, University of Tübingen"
2019,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,"Preferred Networks, Inc."
2019,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,"Research Scientist, Google"
2019,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,"Research Scientist, Waymo"
2019,Learning Loss for Active Learning,Lunit Inc.
2019,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,"PhD Student, Computer Vision and Geometry Group, ETH Zurich"
2019,Revealing Scenes by Inverting Structure From Motion Reconstructions,NEC Labs America
2019,Strand-Accurate Multi-View Hair Capture,Facebook Reality Labs
2019,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation,University of Washington
2019,Pushing the Boundaries of View Extrapolation With Multiplane Images,Research Scientist at Google Research
2019,GA-Net: Guided Aggregation Net for End-To-End Stereo Matching,"PhD Candidate, Department of Engineering Science, University of Oxford"
2019,Real-Time Self-Adaptive Deep Stereo,"Research Scientist, Google inc., Zurich"
2019,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,Yonsei University
2019,Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image,"Assistant Professor, The Chinese University of Hong Kong, Shenzhen"
2019,Video Action Transformer Network,"Research Scientist, Facebook AI Research (FAIR)"
2019,Timeception for Complex Action Recognition,"PhD in Computer Vision, University of Amsterdam - Interned @ Microsoft, Qualcomm"
2019,STEP: Spatio-Temporal Progressive Learning for Video Action Detection,"Graduate student of Computer Science, Univerisity of Maryland, College Park"
2019,Long-Term Feature Banks for Detailed Video Understanding,"Research Scientist, Facebook AI Research (FAIR)"
2019,MHP-VOS: Multiple Hypotheses Propagation for Video Object Segmentation,HKUST
2019,2.5D Visual Sound,Stanford University
2019,Gaussian Temporal Awareness Networks for Action Localization,University of Science and Technology of China
2019,TopNet: Structural Point Cloud Decoder,Stanford University
2019,Perceive Where to Focus: Learning Visibility-Aware Part-Level Features for Partial Person Re-Identification,Baidu Research
2019,Meta-Transfer Learning for Few-Shot Learning,"Assistant Professor of Computer Science, Singapore Management University"
2019,Structured Binary Neural Networks for Accurate Image Classification and Semantic Segmentation,"Assistant Professor, Monash University"
2019,Graph-Based Global Reasoning Networks,National University of Singapore
2019,Spherical Fractal Convolutional Neural Networks for Point Cloud Recognition,Tsinghua University
2019,Divide and Conquer the Embedding Space for Metric Learning,"PhD Fellow, Heidelberg University"
2019,Latent Space Autoregression for Novelty Detection,Qualcomm AI Research
2019,Selective Kernel Networks,Northeast Agricultural University
2019,On Implicit Filter Level Sparsity in Convolutional Neural Networks,Max Planck Institute For Informatics
2019,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness Against Adversarial Attack,"Assistant Professor, Shanghai Jiao Tong University"
2019,Progressive Feature Alignment for Unsupervised Domain Adaptation,"PhD Student, The University of Hong Kong"
2019,Learning a Deep ConvNet for Multi-Label Classification With Partial Labels,"Machine Learning Researcher, Borealis AI"
2019,Generalized Intersection Over Union: A Metric and a Loss for Bounding Box Regression,"Assistant Professor, Monash University, Melbourne, Australia"
2019,Generalising Fine-Grained Sketch-Based Image Retrieval,"SketchX, CVSSP,  University of Surrey"
2019,Cyclic Guidance for Weakly Supervised Joint Detection and Segmentation,Xiamen University
2019,Thinking Outside the Pool: Active Training Image Creation for Relative Attributes,Home Depot AI | University of Texas at Austin
2019,Generalizable Person Re-Identification by Domain-Invariant Mapping Network,Queen Mary University of London
2019,Unsupervised Open Domain Recognition by Semantic Discrepancy Minimization,中国科学院计算技术研究所博士生
2019,Weakly Supervised Person Re-Identification,Sun Yat-Sen University
2019,PointRCNN: 3D Object Proposal Generation and Detection From Point Cloud,Max Planck Institute for Informatics
2019,Automatic Adaptation of Object Detectors to New Domains Using Self-Training,"Applied Scientist, AWS AI"
2019,Query-Guided End-To-End Person Search,"OSRAM GmbH, Technical University of Munich"
2019,Libra R-CNN: Towards Balanced Learning for Object Detection,MMLab@CUHK
2019,Learning a Unified Classifier Incrementally via Rebalancing,University of Science and Technology of China
2019,Feature Selective Anchor-Free Module for Single-Shot Object Detection,Meta AI
2019,SCOPS: Self-Supervised Co-Part Segmentation,"Research Scientist, Waymo"
2019,Unsupervised Moving Object Detection via Contextual Information Separation,Stanford University
2019,Pose2Seg: Detection Free Human Instance Segmentation,Tsinghua University
2019,DrivingStereo: A Large-Scale Dataset for Stereo Matching in Autonomous Driving Scenarios,SenseTime Group Limited
2019,PartNet: A Large-Scale Benchmark for Fine-Grained and Hierarchical Part-Level 3D Object Understanding,"Ph.D. Student, Stanford"
2019,A Dataset and Benchmark for Large-Scale Multi-Modal Face Anti-Spoofing,beijing forestry university
2019,VizWiz-Priv: A Dataset for Recognizing the Presence and Purpose of Private Visual Information in Images Taken by Blind People,"Assistant Professor, University of Colorado Boulder - Director of Image and Video …"
2019,Structural Relational Reasoning of Point Clouds,Stanford University
2019,MVF-Net: Multi-View 3D Face Morphable Model Regression,The Chinese Unviersity of Hong Kong
2019,Photometric Mesh Optimization for Video-Aligned 3D Object Reconstruction,NVIDIA Research
2019,Guided Stereo Matching,"Assistant professor, University of Bologna"
2019,"Unsupervised Event-Based Learning of Optical Flow, Depth, and Egomotion",Researcher at Waymo
2019,Modeling Local Geometric Structure of 3D Point Clouds Using Geo-CNN,"University of Maryland, College Park"
2019,3D Point Capsule Networks,University of Padova
2019,GS3D: An Efficient 3D Object Detection Framework for Autonomous Driving,The Chinese University of Hong Kong
2019,Single-Image Piece-Wise Planar 3D Reconstruction via Associative Embedding,ShanghaiTech University
2019,3DN: 3D Deformation Network,University of Southern California
2019,Pushing the Envelope for RGB-Based Dense 3D Hand Pose Estimation via Neural Rendering,"Assistant Professor, UNIST"
2019,Self-Supervised Learning of 3D Human Pose Using Multi-View Geometry,"Perceiving Systems, Max Planck Institute for Intelligent Systems, Max Planck ETH Center for …"
2019,FSA-Net: Learning Fine-Grained Structure Aggregation for Head Pose Estimation From a Single Image,"Facebook Reality Labs, London, Research Scientist"
2019,Dense 3D Face Decoding Over 2500FPS: Joint Texture & Shape Convolutional Mesh Decoders,DeepMind
2019,Linkage Based Face Clustering via Graph Convolution Network,Tsinghua University
2019,Towards High-Fidelity Nonlinear 3D Face Morphable Model,"Research Scientist, Facebook Reality Labs"
2019,BridgeNet: A Continuity-Aware Probabilistic Network for Age Estimation,Tsinghua University
2019,GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face Reconstruction,"PhD student at Imperial College, London"
2019,Improving the Performance of Unimodal Dynamic Hand-Gesture Recognition With Multimodal Training,Dataminr
2019,Learning to Reconstruct People in Clothing From a Single RGB Camera,Google Research
2019,Distilled Person Re-Identification: Towards a More Scalable System,Sun Yat-sen University
2019,A Perceptual Prediction Framework for Self Supervised Event Segmentation,"Assistant Professor, Oklahoma State University"
2019,COIN: A Large-Scale Dataset for Comprehensive Instructional Video Analysis,University of Oxford
2019,An Attention Enhanced Graph Convolutional LSTM Network for Skeleton-Based Action Recognition,SAIL<<CASIA
2019,Graph Convolutional Label Noise Cleaner: Train a Plug-And-Play Action Classifier for Anomaly Detection,University of Oxford
2019,AdaFrame: Adaptive Frame Selection for Fast Video Recognition,Fudan University
2019,Completeness Modeling and Context Separation for Weakly Supervised Temporal Action Localization,"Ph.D. Student, Peking University"
2019,Object Tracking by Reconstruction With View-Specific Discriminative Correlation Filters,Computer Vision Engineer at Scandit
2019,SoPhie: An Attentive GAN for Predicting Paths Compliant to Social and Physical Constraints,"Director of R&D at Aibee, PhD Stanford University"
2019,Leveraging Shape Completion for 3D Siamese Tracking,King Abdullah University of Science and Technology
2019,End-To-End Time-Lapse Video Synthesis From a Single Outdoor Image,York University
2019,Mode Seeking Generative Adversarial Networks for Diverse Image Synthesis,Peking University to Communication University of China
2019,Salient Object Detection With Pyramid Attention and Salient Edges,"Postdoctoral Scholar, ETH Zurich"
2019,Latent Filter Scaling for Multimodal Unsupervised Image-To-Image Translation,Research scientist at SDAIA
2019,Feedback Adversarial Learning: Spatial Feedback for Improving Generative Adversarial Networks,PhD student in MIT CSAIL
2019,MirrorGAN: Learning Text-To-Image Generation by Redescription,"Zhejiang University, The university of Sydney, Delft University of Technology"
2019,Light Field Messaging With Deep Photographic Steganography,steg.ai
2019,Im2Pencil: Controllable Pencil Illustration From Photographs,Adobe Research
2019,When Color Constancy Goes Wrong: Correcting Improperly White-Balanced Images,Apple
2019,Beyond Volumetric Albedo -- A Surface Optimization Framework for Non-Line-Of-Sight Imaging,Apple Inc
2019,Reflection Removal Using a Dual-Pixel Sensor,York University
2019,Practical Coding Function Design for Time-Of-Flight Imaging,"Graduate Student, University of Wisconsin-Madison"
2019,Learning Attraction Field Representation for Robust Line Segment Detection,Wuhan University
2019,Blind Super-Resolution With Iterative Kernel Correction,"School of Electrical and Information Engineering, The University of Sydney"
2019,Attentive Feedback Network for Boundary-Aware Salient Object Detection,Student in Dalian University of Technology
2019,Heavy Rain Image Restoration: Integrating Physics Model and Conditional Adversarial Learning,National University of Singapore
2019,Frame-Consistent Recurrent Video Deraining With Dual-Level Flow,Nanyang Technological University
2019,Sea-Thru: A Method for Removing Water From Underwater Images,Harbor Branch Oceanographic Institution
2019,Deep Network Interpolation for Continuous Imagery Effect Transition,"PhD student of MMLab, The Chinese University of Hong Kong"
2019,Towards Real Scene Super-Resolution With Raw Images,Nanyang Technological University
2019,ODE-Inspired Network Design for Single Image Super-Resolution,"Institute of Automation, Chinese Academy of Sciences"
2019,Attention-Guided Network for Ghost-Free High Dynamic Range Imaging,The University of Adelaide
2019,Searching for a Robust Neural Architecture in Four GPU Hours,University of Technology Sydney
2019,Hierarchy Denoising Recursive Autoencoders for 3D Scene Layout Prediction,National Univeristy of Defense Technology
2019,Adaptively Connected Neural Networks,University of Oxford
2019,CrDoCo: Pixel-Level Domain Transfer With Cross-Domain Consistency,"University of Toronto, Vector Institute, NVIDIA"
2019,Temporal Cycle-Consistency Learning,Google Brain
2019,Predicting Future Frames Using Retrospective Cycle GAN,Korea Electronics Technology Institute
2019,Density Map Regression Guided Detection Network for RGB-D Crowd Counting and Localization,ShanghaiTech University
2019,Learning Semantic Segmentation From Synthetic Data: A Geometrically Guided Input-Output Adaptation Approach,Facebook
2019,Attentive Single-Tasking of Multiple Tasks,Research Scientist at Google
2019,Self-Supervised Learning via Conditional Motion Propagation,"PhD, CUHK"
2019,Revisiting Self-Supervised Visual Representation Learning,"Google Research, Brain team."
2019,It's Not About the Journey; It's About the Destination: Following Soft Paths Under Question-Guidance for Visual Reasoning,"CVHCI, Karlsruhe Institute of Technology"
2019,Actively Seeking and Learning From Live Data,Idiap Research Institute
2019,Improving Referring Expression Grounding With Cross-Modal Attention-Guided Erasing,UC Berkeley
2019,Scene Graph Generation With External Knowledge and Image Reconstruction,"Research Scientist, Adobe Research"
2019,MUREL: Multimodal Relational Reasoning for Visual Question Answering,Sorbonne University
2019,Heterogeneous Memory Enhanced Multimodal Attention Model for Video Question Answering,Indiana University
2019,Information Maximizing Visual Question Generation,"University of Washington, Facebook AI Research"
2019,Learning Words by Drawing Images,"PhD student, Columbia University"
2019,Factor Graph Attention,"PhD CS Student, Technion - Israel Institute of Technology"
2019,Reducing Uncertainty in Undersampled MRI Reconstruction With Active Acquisition,Google
2019,ESIR: End-To-End Scene Text Recognition via Iterative Image Rectification,Nanyang Technological University
2019,ROI-10D: Monocular Lifting of 2D Detection to 6D Pose and Metric Shape,Google
2019,Biologically-Constrained Graphs for Global Connectomics Reconstruction,"PhD, Harvard University"
2019,P3SGD: Patient Privacy Preserving SGD for Regularizing Deep CNNs in Pathological Image Classification,Peking University
2019,Elastic Boundary Projection for 3D Medical Image Segmentation,University of Montreal
2019,Noise2Void - Learning Denoising From Single Noisy Images,MPI-CBG/PKS in Dresden
2019,Joint Discriminative and Generative Learning for Person Re-Identification,NUS | UTS | Fudan
2019,Unsupervised Person Re-Identification by Soft Multilabel Learning,Stanford University
2019,Learning Context Graph for Person Search,"Assistant Professor, Shanghai Jiao Tong University"
2019,Gradient Matching Generative Networks for Zero-Shot Learning,NAVER LABS Europe
2019,Doodle to Search: Practical Zero-Shot Sketch-Based Image Retrieval,"AI Research Engineer, Helsing AI"
2019,Weakly Supervised Learning of Instance Segmentation With Inter-Pixel Relations,Kakao Corp.
2019,Attention-Based Dropout Layer for Weakly Supervised Object Localization,"Assistant Professor, Sogang University"
2019,Domain Generalization by Solving Jigsaw Puzzles,Facebook
2019,Transferrable Prototypical Networks for Unsupervised Domain Adaptation,JD AI Research
2019,Blending-Target Domain Adaptation by Adversarial Meta-Adaptation Networks,"PhD, Sun Yat-sen University"
2019,C2AE: Class Conditioned Auto-Encoder for Open-Set Recognition,Graduate Research Assistant at Johns Hopkins Univeristy
2019,Shapes and Context: In-The-Wild Image Synthesis & Manipulation,"Robotics Institute, Carnegie Mellon University"
2019,Semantics Disentangling for Text-To-Image Generation,University of Science and Technology of China
2019,Unsupervised Person Image Generation With Semantic Parsing Transformation,Peking University
2019,Animating Arbitrary Objects via Deep Motion Transfer,unitn.it
2019,Textured Neural Avatars,Cambridge University
2019,IM-Net for High Resolution Video Frame Interpolation,Dr.
2019,Homomorphic Latent Space Interpolation for Unpaired Image-To-Image Translation,Hong Kong University of Science and Technology
2019,DeepVoxels: Learning Persistent 3D Feature Embeddings,Incoming Assistant Professor at MIT CSAIL.
2019,Inverse Path Tracing for Joint Material and Lighting Estimation,"PhD Candidate, Technical University of Munich"
2019,The Visual Centrifuge: Model-Free Layered Video Representations,"DeepMind, London"
2019,Label-Noise Robust Generative Adversarial Networks,Distinguished Researcher at NTT
2019,DLOW: Domain Flow for Adaptation and Generalization,"PhD Student, ETH Zurich"
2019,Taking a Closer Look at Domain Shift: Category-Level Adversaries for Semantics Consistent Domain Adaptation,Zhejiang University
2019,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation,"Research scientist, valeo.ai"
2019,ContextDesc: Local Descriptor Augmentation With Cross-Modality Context,"PhD, Hong Kong University of Science and Technology"
2019,Large-Scale Long-Tailed Recognition in an Open World,"Assistant Professor, Nanyang Technological University"
2019,AET vs. AED: Unsupervised Representation Learning by Auto-Encoding Transformations Rather Than Data,University of Central Florida
2019,SDC - Stacked Dilated Convolution: A Unified Descriptor Network for Dense Matching Tasks,"Researcher, DFKI"
2019,Learning Correspondence From the Cycle-Consistency of Time,"Assistant Professor, UC San Diego"
2019,Mitigating Information Leakage in Image Representations: A Maximum Entropy Approach,"Algorithm Engineer, KLA Corporation"
2019,Learning Spatial Common Sense With Geometry-Aware Recurrent Networks,Carnegie Mellon University
2019,Scan2CAD: Learning CAD Model Alignment in RGB-D Scans,PhD Student at TUM
2019,Tell Me Where I Am: Object-Level Scene Context Prediction,City University of Hong Kong
2019,Do Better ImageNet Models Transfer Better?,Google Brain
2019,Gotta Adapt 'Em All: Joint Pixel and Feature-Level Domain Adaptation for Recognition in the Wild,"Research Scientist, Facebook Reality Labs"
2019,Universal Domain Adaptation,PhD student at Tsinghua University
2019,Hybrid-Attention Based Decoupled Metric Learning for Zero-Shot Image Retrieval,Beijing University of Posts and Telecommunications
2019,Towards Optimal Structured CNN Pruning via Generative Adversarial Learning,East China Normal University
2019,Fully Quantized Network for Object Detection,NVIDIA
2019,MnasNet: Platform-Aware Neural Architecture Search for Mobile,Waymo Research
2019,"Student Becoming the Master: Knowledge Amalgamation for Joint Scene Parsing, Depth Estimation, and More",浙江大学
2019,K-Nearest Neighbors Hashing,"Institute of Automation, Chinese Academy of Sciences"
2019,Bounding Box Regression With Uncertainty for Accurate Object Detection,Facebook AI Research
2019,OCGAN: One-Class Novelty Detection Using GANs With Constrained Latent Representations,AWS AI
2019,Activity Driven Weakly Supervised Object Detection,ByteDance
2019,DistillHash: Unsupervised Deep Hashing by Distilling Data Pairs,Xidian University
2019,Region Proposal by Guided Anchoring,Chinese University of Hong Kong
2019,Learning to Transfer Examples for Partial Domain Adaptation,"Ph.D. of Computer Science, Stanford University"
2019,Generalized Zero-Shot Recognition Based on Visually Semantic Embedding,"PhD Candidate, Electrical and Computer Engineering, Boston University"
2019,Global Second-Order Pooling Convolutional Networks,Dalian University of Technology
2019,Weakly Supervised Complementary Parts Models for Fine-Grained Image Classification From the Bottom Up,"Department of Computer Science, The University of Hong Kong"
2019,Learning-Based Sampling for Natural Image Matting,ETH Zurich
2019,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks,NVIDIA
2019,Co-Saliency Detection via Mask-Guided Fully Convolutional Networks With Multi-Scale Label Smoothing,Nanjing University of Information Science and Technology
2019,SAIL-VOS: Semantic Amodal Instance Level Video Object Segmentation - A Synthetic Dataset and Baselines,"PhD Student, University of Illinois at Urbana-Champaign"
2019,A Variational Auto-Encoder Model for Stochastic Point Processes,Simon Fraser University
2019,Unifying Heterogeneous Classifiers With Distillation,IBM Research-Tokyo
2019,Assessment of Faster R-CNN in Man-Machine Collaborative Search,"Post-Doctoral Research Associate, MIT"
2019,OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge,DeepMind
2019,Spectral Metric for Dataset Complexity Assessment,ElementAI
2019,VERI-Wild: A Large Dataset and a New Method for Vehicle Re-Identification in the Wild,Huawei Cloud&AI;Peking University
