aazyear,paper,affiliations
2018,Practical Deep Stereo (PDS): Toward applications-friendly deep stereo matching,Huawei Zurich Research Center
2018,Dual Principal Component Pursuit: Improved Analysis and Efficient Algorithms,"Assistant Professor, University of Denver"
2018,Generative modeling for protein structures,"Bioengineering Dept, Stanford University"
2018,Relating Leverage Scores and Density using Regularized Christoffel Functions,"IRIT, Université Toulouse 3 Paul Sabatier"
2018,"Online Adaptive Methods, Universality and Acceleration",Assistant Professor at Technion - Israel Institute of Technology
2018,Improving Exploration in Evolution Strategies for Deep Reinforcement Learning via a Population of Novelty-Seeking Agents,"Facebook, MIT, Uber"
2018,SimplE Embedding for Link Prediction in Knowledge Graphs,"Research Scientist, Google"
2018,A Structured Prediction Approach for Label Ranking,ENSAE/CREST
2018,Sparsified SGD with Memory,"Research Scientist, EPFL"
2018,Model Agnostic Supervised Local Explanations,Carnegie Mellon University
2018,Large Scale computation of Means and Clusters for Persistence Diagrams using Optimal Transport,"Maître de Conférence, Université Gustave Eiffel"
2018,Probabilistic Matrix Factorization for Automated Machine Learning,"Senior Principal Researcher, Microsoft Research"
2018,Cluster Variational Approximations for Structure Learning of Continuous-Time Bayesian Networks from Incomplete Data,Machine Learning Engineer @Kausa.ai
2018,Generalizing Point Embeddings using the Wasserstein Space of Elliptical Distributions,INRIA - École Normale Supérieure
2018,Dirichlet-based Gaussian Processes for Large-scale Calibrated Classification,"Post Doctoral Fellow, EURECOM"
2018,Latent Alignment and Variational Attention,"PhD Student, Harvard University"
2018,The Pessimistic Limits and Possibilities of Margin-based Losses in Semi-supervised Learning,Delft University of Technology
2018,Porcupine Neural Networks: Approximating Neural Network Landscapes,"University of Maryland, College Park"
2018,Learning Disentangled Joint Continuous and Discrete Representations,"PhD student, University of Oxford"
2018,Attacks Meet Interpretability: Attribute-steered Detection of Adversarial Samples,"Ph.D. Student, Purdue University"
2018,Learning To Learn Around A Common Mean,University College of London
2018,Recurrent Relational Networks,IT University of Copenhagen
2018,Reinforcement Learning with Multiple Experts: A Bayesian Model Combination Approach,"Mechanical and Industrial Engineering, University of Toronto; Vector Institute"
2018,Differentiable MPC for End-to-end Planning and Control,Facebook AI Research (FAIR)
2018,"Loss Surfaces, Mode Connectivity, and Fast Ensembling of DNNs","PhD student, MIT"
2018,Fairness Behind a Veil of Ignorance: A Welfare Analysis for Automated Decision Making,Carnegie Mellon University
2018,A Unified View of Piecewise Linear Neural Network Verification,Deepmind
2018,Wavelet regression and additive models for irregularly spaced data,McGill University
2018,Self-Erasing Network for Integral Object Attention,"Associate professor, Nankai University"
2018,Training deep learning based denoisers without ground truth data,Huawei
2018,Realistic Evaluation of Deep Semi-Supervised Learning Algorithms,Google Brain
2018,Long short-term memory and Learning-to-learn in networks of spiking neurons,EPFL
2018,Out of the Box: Reasoning with Graph Convolution Nets for Factual Visual Question Answering,"UC Berkeley, University of Illinois Urbana Champaign"
2018,Distributed Multi-Player Bandits - a Game of Thrones Approach,Stanford University
2018,Blockwise Parallel Decoding for Deep Autoregressive Models,"PhD Student, UC Berkeley"
2018,Cooperative Learning of Audio and Video Models from Self-Supervised Synchronization,"University of Oxford, UK"
2018,FD-GAN: Pose-guided Feature Distilling GAN for Robust Person Re-identification,The Chinese University of Hong Kong
2018,Graphical Generative Adversarial Networks,"Tenure-track Assistant Professor in Gaoling School of AI, Renmin University of China"
2018,Explanations based on the Missing: Towards Contrastive Explanations with Pertinent Negatives,"Principal RSM, IBM"
2018,M-Walk: Learning to Walk over Graphs using Monte Carlo Tree Search,Kent State University
2018,Unsupervised Image-to-Image Translation Using Domain-Specific Variational Information Bound,Apple Inc.
2018,Group Equivariant Capsule Networks,Max Planck Institute for Informatics
2018,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction,"Research Scientist, Google LA"
2018,Adversarial Scene Editing: Automatic Object Removal from Weak Supervision,Max Planck Institute for Informatics
2018,Variational Inverse Control with Events: A General Framework for Data-Driven Reward Definition,UC Berkeley
2018,MULAN: A Blind and Off-Grid Method for Multichannel Echo Retrieval,École Polytechnique Fédérale de Lausanne
2018,Breaking the Activation Function Bottleneck through Adaptive Parameterization,Research Scientist at DeepMind
2018,Topkapi: Parallel and Fast Sketches for Finding Top-K Frequent Elements,"PhD Candidate, Georgia Institute of Technology"
2018,The Price of Fair PCA: One Extra dimension,Research Group Leader. Max Planck Institute for Intelligent Systems
2018,Orthogonally Decoupled Variational Gaussian Processes,Imperial College London
2018,Algorithmic Assurance: An Active Approach to Algorithmic Testing using Bayesian Optimisation,Deakin University
2018,High Dimensional Linear Regression using Lattice Basis Reduction,"CDS Moore-Sloan Fellow, New York University"
2018,Efficient inference for time-varying behavior during learning,"Graduate Student, Princeton University"
2018,Re-evaluating evaluation,XTX Markets
2018,Learning Abstract Options,IBM
2018,PG-TS: Improved Thompson Sampling for Logistic Contextual Bandits,Cambridge University
2018,Variance-Reduced Stochastic Gradient Descent on Streaming Data,Carnegie Mellon University
2018,GradiVeQ: Vector Quantization for Bandwidth-Efficient Gradient Aggregation in Distributed CNN Training,Dolby Laboratory
2018,Theoretical Linear Convergence of Unfolded ISTA and Its Practical Weights and Thresholds,"Electrical and Computer Engineering (DICE) , University of Texas at Austin"
2018,Neural Edit Operations for Biological Sequences,Toyota Central R&D Lab
2018,Temporal alignment and latent Gaussian process factor inference in population spike trains,Stanford University
2018,Dimensionality Reduction for Stationary Time Series via Stochastic Nonconvex Optimization,Georgia Institute of Technology
2018,"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling","Research Scientist, ByteDance"
2018,SLANG: Fast Structured Covariance Approximations for Bayesian Deep Learning with Natural Gradient,"PhD Student, Stanford University"
2018,Preference Based Adaptation for Learning Objectives,"Assistant Professor, Zhejiang University"
2018,Learning Invariances using the Marginal Likelihood,Imperial College London
2018,NEON2: Finding Local Minima via First-Order Oracles,Microsoft Research Redmond
2018,Lipschitz regularity of deep neural networks: analysis and efficient estimation,Huawei
2018,Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation,"CS PhD candidate, Stanford University"
2018,Dialog-to-Action: Conversational Question Answering Over a Large-Scale Knowledge Base,Sun Yat-Sen University
2018,Text-Adaptive Generative Adversarial Networks: Manipulating Images with Natural Language,York University
2018,Exploration in Structured Reinforcement Learning,"Assistant Professor, CSE/AI, POSTECH"
2018,Tree-to-tree Neural Networks for Program Translation,"EECS, UC Berkeley"
2018,Virtual Class Enhanced Discriminative Embedding Learning,Beijing University of Posts and Telecommunications
2018,How to Start Training: The Effect of Initialization and Architecture,"Assistant Professor, Princeton ORFE"
2018,Video-to-Video Synthesis,NVIDIA Research
2018,Occam's razor is insufficient to infer the preferences of irrational agents,"James Martin Research Fellow, Future of Humanity Institute, Oxford University"
2018,Adversarial Regularizers in Inverse Problems,"PhD Student, University of Cambridge"
2018,The emergence of multiple retinal cell types through efficient coding of natural movies,Stanford
2018,Approximating Real-Time Recurrent Learning with Random Kronecker Factors,PhD candidate at ETH
2018,Hyperbolic Neural Networks,"MIT, CSAIL"
2018,Mean Field for the Stochastic Blockmodel: Optimization Landscape and Convergence Issues,"INSPIRE Faculty at ISRU at ISI, Kolkata"
2018,Fast Greedy MAP Inference for Determinantal Point Process to Improve Recommendation Diversity,Facebook
2018,Gather-Excite: Exploiting Feature Context in Convolutional Neural Networks,ByteDance AILab
2018,DeepProbLog:  Neural Probabilistic Logic Programming,"DTAI, KU Leuven"
2018,Image-to-image translation for cross-domain disentanglement,"Computer Vision Scientist, wrnch"
2018,TopRank: A practical algorithm for online stochastic ranking,DeepMind
2018,Minimax Estimation of Neural Net Distance,"Postdoc at the University of Michigan, Ann Arbor"
2018,Using Large Ensembles of Control Variates for Variational Inference,"University of Massachusetts, Amherst"
2018,Practical Methods for Graph Two-Sample Testing,Technical University of Munich
2018,Learning to Navigate in Cities Without a Map,Staff Research Scientist at DeepMind
2018,Fast greedy algorithms for dictionary selection with generalized sparsity constraints,National Institute of Informatics
2018,Invertibility of Convolutional Generative Networks from Partial Measurements,Apple; MIT
2018,Towards Robust Detection of Adversarial Examples,Tsinghua University; Sea AI Lab
2018,Sparse Attentive Backtracking: Temporal Credit Assignment Through Reminding,"Google, Deepmind, Mila"
2018,Dynamic Network Model from Partial Observations,Vector Institute
2018,Actor-Critic Policy Optimization in Partially Observable Multiagent Environments,Google
2018,Relational recurrent neural networks,DeepMind
2018,Kalman Normalization: Normalizing Internal Representations Across Network Layers,University of Oxford
2018,Are GANs Created Equal? A Large-Scale Study,"Research Scientist, Google Brain"
2018,Recurrent Transformer Networks for Semantic Correspondence,"Assistant Professor of CS, Korea University"
2018,FRAGE: Frequency-Agnostic Word Representation,University of Texas at Austin
2018,Joint Active Feature Acquisition and Classification with Variable-Size Set Encoding,KAIST
2018,Data-Efficient Hierarchical Reinforcement Learning,Google Brain
2018,Verifiable Reinforcement Learning via Policy Extraction,University of Pennsylvania
2018,A Simple Proximal Stochastic Gradient Method for Nonsmooth Nonconvex Optimization,"Research Scientist, KAUST"
2018,Hierarchical Graph Representation Learning with Differentiable Pooling,Stanford University
2018,Efficient Loss-Based Decoding on Graphs for Extreme Classification,Technion - Israel Institute of Technology
2018,Scalable methods for 8-bit training of neural networks,Machine Learning Researcher @ Intel & Technion
2018,Solving Large Sequential Games with the Excessive Gap Technique,"Assistant Professor, Columbia University"
2018,Step Size Matters in Deep Learning,"University of California, Berkeley"
2018,Convex Elicitation of Continuous Properties,University of Colorado Boulder
2018,Bandit Learning with Positive Externalities,Stanford University
2018,Learning long-range spatial dependencies with horizontal gated recurrent units,Brown University
2018,(Probably) Concave Graph Matching,NVIDIA Research
2018,HOUDINI: Lifelong Learning as Program Synthesis,University of Edinburgh
2018,Snap ML: A Hierarchical Framework for Machine Learning,Max Planck Institute for Intelligent Systems
2018,Embedding Logical Queries on Knowledge Graphs,"Assistant Professor of Computer Science, McGill University and Mila"
2018,Learning Versatile Filters for Efficient Convolutional Neural Networks,"Senior Researcher, Noah's Ark Lab, Huawei Technologies."
2018,Neural Nearest Neighbors Networks,TU Darmstadt
2018,Learning latent variable structured prediction models with Gaussian perturbations,Purdue University
2018,Differentially Private Change-Point Detection,Columbia University
2018,Proximal Graphical Event Models,"Researcher, IBM TJ Watson Research Center"
2018,Low-rank Interaction with Sparse Additive Effects Model for Large Data Frames,"Chargée de Recherche, CNRS, Université d'Évry Val d'Essonne, Évry, France"
2018,Generalized Cross Entropy Loss for Training Deep Neural Networks with Noisy Labels,"PhD Student, Cornell University"
2018,Inference Aided Reinforcement Learning for Incentive Mechanism Design in Crowdsourcing,
2018,Online Structured Laplace Approximations for Overcoming Catastrophic Forgetting,University College London
2018,Neural Architecture Search with Bayesian Optimisation and Optimal Transport,"University of California, Berkeley"
2018,BinGAN: Learning Compact Binary Descriptors with a Regularized GAN,"Wroclaw University of  Science and Technology, Tooploox"
2018,Communication Efficient Parallel Algorithms for Optimization on Manifolds,"postdoctoral position, University of Rochester"
2018,Why so gloomy? A Bayesian explanation of human pessimism bias in the multi-armed bandit task,University of California San Diego
2018,Robust Subspace Approximation in a Stream,Carnegie Mellon University
2018,Learning convex bounds for linear quadratic control policy synthesis,"Postdoctoral associate, MIT"
2018,Mean-field theory of graph neural networks in graph partitioning,National Institute of Advanced Industrial Science and Technology
2018,Assessing Generative Models via Precision and Recall,Google Brain
2018,Improved Network Robustness with Adversary Critic,Imperial College London
2018,A Practical Algorithm for Distributed Clustering and Outlier Detection,Google Research
2018,Loss Functions for Multiset Prediction,"Postdoctoral scholar, University of Washington"
2018,SEGA: Variance Reduction via Gradient Sketching,"Research Assistant Professor, TTIC"
2018,Flexible neural representation for physics prediction,Stanford University
2018,A Stein variational Newton method,"Machine Learning Scientist, Amazon"
2018,LAG: Lazily Aggregated Gradient for Communication-Efficient Distributed Learning,"Assistant Professor, Rensselaer Polytechnic Institute"
2019,XNAS: Neural Architecture Search with Expert Advice,
2019,Multi-resolution Multi-task Gaussian Processes,"The University of Warwick, The Alan Turing Institute"
2019,Deep Equilibrium Models,"Machine Learning Department, Carnegie Mellon University"
2019,Cross Attention Network for Few-shot Classification,"Institute of Computing Technology, Chinese Academy of Sciences"
2019,Asymmetric Valleys: Beyond Sharp and Flat Local Minima,Tsinghua University
2019,Improved Precision and Recall Metric for Assessing Generative Models,"PhD student, Aalto University"
2019,Hyperspherical Prototype Networks,"Assistant Professor, University of Amsterdam"
2019,Generalization of Reinforcement Learners with Working and Episodic Memory,Google DeepMind
2019,DTWNet: a Dynamic Time Warping Network,"University of Connecticut, Baidu Research"
2019,Explicit Explore-Exploit Algorithms in Continuous State Spaces,Facebook AI Research
2019,Hyperbolic Graph Convolutional Neural Networks,Stanford University
2019,SpArSe: Sparse Architecture Search for CNNs on Resource-Constrained Microcontrollers,ARM ML Research
2019,Information-Theoretic Generalization Bounds for SGLD via Data-Dependent Estimates,University of Toronto
2019,Robust exploration in linear quadratic reinforcement learning,"Postdoctoral associate, MIT"
2019,Modeling Uncertainty by Learning a Hierarchy of Deep Neural Connections,"Research Scientist, Intel Labs"
2019,Meta-Surrogate Benchmarking for Hyperparameter Optimization,AWS Research Berlin
2019,State Aggregation Learning from Markov Transition Data,Princeton University
2019,Reliable training and estimation of variance networks,"Postdoc, Section for Cognitive Systems, Technical University of Denmark (DTU)"
2019,Meta-Learning with Implicit Gradients,"Facebook AI Research (FAIR), UC Berkeley"
2019,Differentially Private Markov Chain Monte Carlo,"PhD student, University of Helsinki"
2019,Universal Boosting Variational Inference,"Assistant Professor, Statistics, UBC"
2019,The Geometry of Deep Networks: Power Diagram Subdivision,Facebook AI Research New York2019,Equal Opportunity in Online Classification with Partial Feedback,Hebrew University of Jerusalem
2019,Interior-Point Methods Strike Back: Solving the Wasserstein Barycenter Problem,
2019,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,Google Brain
2019,DiskANN: Fast Accurate Billion-point Nearest Neighbor Search on a Single Node,Carnegie Mellon University
2019,Linear Stochastic Bandits Under Safety Constraints,UCLA
2019,Variational Mixture-of-Experts Autoencoders for Multi-Modal Deep Generative Models,University of Oxford
2019,Language as an Abstraction for Hierarchical Deep Reinforcement Learning,"PhD Student, Carnegie Mellon University"
2019,High-dimensional multivariate forecasting with low-rank Gaussian Copula Processes,Amazon
2019,Learning Macroscopic Brain Connectomes via Group-Sparse Factorization,"Research Assistant, University of Alberta"
2019,DRUM: End-To-End Differentiable Rule Mining On Knowledge Graphs,University of Florida
2019,Retrosynthesis Prediction with Conditional Graph Logic Network,Google Brain
2019,Unsupervised Emergence of Egocentric Spatial Structure from Sensorimotor Prediction,Sony AI
2019,Adversarial Robustness through Local Linearization,"Research Scientist, DeepMind"
2019,Generalized Off-Policy Actor-Critic,University of Oxford
2019,"Average Individual Fairness: Algorithms, Generalization and Experiments","PhD Student of Statistics and Data Science, University of Pennsylvania"
2019,Approximate Bayesian Inference for a Mechanistic Model of Vesicle Release at a Ribbon Synapse,University of Tübingen
2019,Data-dependent Sample Complexity of Deep Neural Networks via Lipschitz Augmentation,Stanford University
2019,Semi-supervisedly Co-embedding Attributed Networks,"University of Cambridge, University of Glasgow, Sun Yat-sen University"
2019,Training Image Estimators without Image Ground Truth,"Research Scientist, Adobe"
2019,The Label Complexity of Active Learning from Observational Data,University of California San Diego
2019,Learning Fairness in Multi-Agent Systems,"Ph.D. student, Peking University"
2019,Discovery of Useful Questions as Auxiliary Tasks,University of Michigan
2019,"Deconstructing Lottery Tickets: Zeros, Signs, and the Supermask",Mila; Université de Montréal
2019,Fast and Flexible Multi-Task Classification using Conditional Neural Adaptive Processes,"University of Cambridge, Invenia"
2019,A Simple Baseline for Bayesian Uncertainty in Deep Learning,"PhD student in data science, New York University"
2019,Low-Complexity Nonparametric Bayesian Online Prediction with Universal Guarantees,Amadeus SAS
2019,Finding the Needle in the Haystack with Convolutions: on the benefits of architectural bias,"École Normale Supérieure, Paris"
2019,Learning Local Search Heuristics for Boolean Satisfiability,"PhD student, Carnegie Mellon University"
2019,Learning to Perform Local Rewriting for Combinatorial Optimization,"EECS, UC Berkeley"
2019,A Unified Bellman Optimality Principle Combining Reward Maximization and Empowerment,Eisler Capital
2019,Probabilistic Logic Neural Networks for Reasoning,Quebec AI Institute (Mila)
2019,Joint-task Self-supervised Learning for Temporal Correspondence,"University of California, Merced"
2019,Dying Experts: Efficient Algorithms with Optimal Regret Bounds,University of Victoria
2019,A Bayesian Theory of Conformity in Collective Decision Making,Allen Institute
2019,Sequence Modeling with Unconstrained Generation Order,"Yandex, Russia; National Research University Higher School of Economics, Russia"
2019,Visualizing and Measuring the Geometry of BERT,Google
2019,Copulas as High-Dimensional Generative Models: Vine Copula Autoencoders,Swiss Data Science Center
2019,q-means: A quantum algorithm for unsupervised machine learning,CNRS Senior Researcher & QC WARE
2019,RUDDER: Return Decomposition for Delayed Rewards,Dynatrace Research
2019,Convergence Guarantees for Adaptive Bayesian Quadrature Methods,EURECOM
2019,A First-Order Algorithmic Framework for Distributionally Robust Logistic Regression,The Chinese University of Hong Kong
2019,Semantic-Guided Multi-Attention Localization for Zero-Shot Learning,Research Scientist at Bytedance
2019,Distributionally Robust Optimization and Generalization in Kernel Methods,Two Sigma Investments
2019,Metalearned Neural Memory,"Research Scientist, Google"
2019,Large Scale Adversarial Representation Learning,"Research Scientist, DeepMind"
2019,Hindsight Credit Assignment,DeepMind
2019,Zero-shot Learning via Simultaneous Generating and Learning,"Robotics Institute, Carnegie Mellon University"
2019,Trivializations for Gradient-Based Optimization on Manifolds,University of Oxford
2019,On the Fairness of Disentangled Representations,"Senior Applied Scientist, Amazon AWS"
2019,Correlation Priors for Reinforcement Learning,"Research Associate, Technische Universität Darmstadt"
2019,Accurate Uncertainty Estimation and Decomposition in Ensemble Learning,Google Research and Harvard University
2019,Globally Optimal Learning for Structured Elliptical Losses,Hebrew University
2019,MixMatch: A Holistic Approach to Semi-Supervised Learning,Google AI
2019,Preventing Gradient Attenuation in Lipschitz Constrained Convolutional Networks,"University of California, Berkeley"
2019,Attentive State-Space Modeling of Disease Progression,"Broad institute of MIT and Harvard, Massachusetts Institute of Technology"
2019,ADDIS: an adaptive discarding algorithm for online FDR control with conservative nulls,Ph.D. in Statistics at Carnegie Mellon University
2019,Exploring Algorithmic Fairness in Robust Graph Covering Problems,PhD student at University of Southern California
2019,Neural networks grown and self-organized by noise,"Graduate Student, California Institute of Technology"
2019,HyperGCN: A New Method For Training Graph Convolutional Networks on Hypergraphs,Indian Institute of Science
2019,Asymptotics for Sketching in Least Squares Regression,"Statistics & Computer Science, University of Pennsylvania"
2019,Chirality Nets for Human Pose Regression,"Research Assistant Professor, Toyota Technology Institute at Chicago"
2019,TAB-VCR: Tags and Attributes based VCR Baselines,University of Illinois at Urbana-Champaign
2019,Multiclass Performance Metric Elicitation,University of Illinois Urbana-Champaign
2019,Assessing Social and Intersectional Biases in Contextualized Word Representations,Yale University
2019,MaCow: Masked Convolutional Generative Flow,"Information Sciences Institute, University of Southern California"
2019,High-Quality Self-Supervised Deep Image Denoising,"Distinguished Research Scientist, NVIDIA"
2019,Augmented Neural ODEs,"PhD student, University of Oxford"
2019,Regularizing Trajectory Optimization with Denoising Autoencoders,"Doctoral Candidate, Aalto University"
2019,Multi-Criteria Dimensionality Reduction with Applications to Fairness,Twitter
2019,Turbo Autoencoder: Deep learning based channel codes for point-to-point communication channels,University of Washington
2019,Diffusion Improves Graph Learning,Technical University of Munich
2019,A Convex Relaxation Barrier to Tight Robustness Verification of Neural Networks,MIT
2019,A Latent Variational Framework for Stochastic Optimization,ETH Zürich
2019,"Painless Stochastic Gradient: Interpolation, Line-Search, and Convergence Rates",University of Alberta
2019,Tight Regret Bounds for Model-Based Reinforcement Learning with Greedy Policies,"Microsoft Research, New York"
2019,Weighted Linear Bandits for Non-Stationary Environments,ENS Paris
2019,Neural Lyapunov Control,"PhD Student, UCSD"
2019,Stochastic Variance Reduced Primal Dual Algorithms for Empirical Composition Optimization,Stanford University
2019,Hamiltonian Neural Networks,"Oregon State University, ML Collective, ex-Google Brain"
2019,Differentiable Cloth Simulation for Inverse Problems,"Ph. D. student of Computer Science, University of Maryland, College Park"
2019,Detecting Overfitting via Adversarial Examples,Microsoft
2019,Region-specific Diffeomorphic Metric Mapping,UNC Chapel Hill
2019,Domain Generalization via Model-Agnostic Learning of Semantic Features,"Assistant Professor, The Chinese University of Hong Kong"
2019,Unconstrained Monotonic Neural Networks,"Phd Student (FNRS), University of Liège"
2019,Efficient Identification in Linear Structural Causal Models with Instrumental Cutsets,Purdue University
2019,Learning Non-Convergent Non-Persistent Short-Run MCMC Toward Energy-Based Model,UCLA
2019,Interval timing in deep reinforcement learning agents,Princeton University
2019,Uncertainty-based Continual Learning with Adaptive Regularization,Sungkyunkwan University
2019,Subspace Attack: Exploiting Promising Subspaces for Query-Efficient Black-box Attacks,Research Scientist
2019,Combinatorial Bayesian Optimization using the Graph Cartesian Product,"PhD student, University of Amsterdam"
2019,Stacked Capsule Autoencoders,"Research Scientist, DeepMind"
2019,"N-Gram Graph: Simple Unsupervised Representation for Graphs, with Applications to Molecules",MILA-UdeM
2019,The spiked matrix model with generative priors,Init ML - ClipDrop
2019,A coupled autoencoder approach for multi-modal analysis of cell types,Allen Institute
2019,Meta-Inverse Reinforcement Learning with Probabilistic Context Variables,"Ph.D. Student, Computer Science Department, Stanford University"
2019,Exact inference in structured prediction,Purdue University
2019,Practical and Consistent Estimation of f-Divergences,Apple Inc.
2019,R2D2: Reliable and Repeatable Detector and Descriptor,"Research Scientist, Naver Labs Europe"
2019,First Order Motion Model for Image Animation,unitn.it
2019,Scalable inference of topic evolution via models for latent geometric structures,"Research Staff Member, IBM Research AI"
2019,Anti-efficient encoding in emergent communication,Facebook AI Research and CoML
2019,PointDAN: A Multi-Scale 3D Domain Adaption Network for Point Cloud Representation,Northeastern University
2019,Stand-Alone Self-Attention in Vision Models,Google Brain
2019,Explicit Disentanglement of Appearance and Perspective in Generative Models,"Postdoc, Section for Cognitive Systems, Technical University of Denmark (DTU)"
2019,Poisson-Minibatching for Gibbs Sampling with Convergence Rate Guarantees,"PhD student, Cornell University"
2019,On Mixup Training: Improved Calibration and Predictive Uncertainty for Deep Neural Networks,Computer Scientist @ Los Alamos National Laboratory
2019,Symmetry-Based Disentangled Representation Learning requires Interaction with Environments,"Postdoctoral Researcher, ISIR (Sorbonne University)"
2019,Mining GOLD Samples for Conditional GANs,"Ph.D. Student, KAIST"
2019,Few-shot Video-to-Video Synthesis,NVIDIA Research
2019,Unlocking Fairness: a Trade-off Revisited,University of Massachusetts
2019,Evaluating Protein Transfer Learning with TAPE,"PhD Student, UC Berkeley"
2019,Recurrent Space-time Graph Neural Networks,Bitdefender
2019,Singleshot : a scalable Tucker tensor decomposition,No affiliation
2019,DISN: Deep Implicit Surface Network for High-quality Single-view 3D Reconstruction,"Ph.D. student at USC, MS at Columbia University"
2019,Personalizing Many Decisions with High-Dimensional Covariates,Ph.D. student at Stanford
2019,Fully Neural Network based Model for General Temporal Point Processes,The University of Tokyo
2019,Improving Textual Network Learning with Variational Homophilic Embeddings,Facebook Inc
2019,"Think Globally, Act Locally: A Deep Neural Network Approach to High-Dimensional Time Series Forecasting",Google
2019,Handling correlated and repeated measurements with the smoothed multivariate square-root Lasso,INRIA Paris-Saclay
2019,Efficient Neural Architecture Transformation Search in Channel-Level for Object Detection,
2019,CXPlain: Causal Explanations for Model Interpretation under Uncertainty,GSK AI/ML
2019,Principal Component Projection and Regression in Nearly Linear Time through Asymmetric SVRG,Stanford University
2019,A Structured Prediction Approach for Generalization in Cooperative Multi-Agent Reinforcement Learning,NYU
2019,On Fenchel Mini-Max Learning,"Applied Scientist, Amazon; Former Senior Research Associate, Duke University (Statistics …"
2019,Stability of Graph Scattering Transforms,"Postdoctoral Research Associate, Rice University"
2019,More Is Less: Learning Efficient Video Representations by Big-Little Network and Depthwise Temporal Aggregation,IBM
2019,Revisiting the Bethe-Hessian: Improved Community Detection in Sparse Heterogeneous Graphs,Research Data Scientist
2019,Defending Against Neural Fake News,"Ph.D. Student, University of Washington"
2019,Robust and Communication-Efficient Collaborative Learning,"Postdoctoral Associate, LIDS, MIT"
2019,Learning Robust Global Representations by Penalizing Local Predictive Power,"LTI, Carnegie Mellon University"
2019,Average-Case Averages: Private Algorithms for Smooth Sensitivity and Mean Estimation,"Assistant Professor, Boston University"
2019,Faster Boosting with Smaller Memory,Facebook
2019,Modelling the Dynamics of Multiagent Q-Learning in Repeated Symmetric Games: a Mean Field Theoretic Approach,Postdoctoral Fellow at National University of Singapore
2019,Bootstrapping Upper Confidence Bound,Deepmind
2019,DETOX: A Redundancy-based Framework for Faster and More Robust Gradient Aggregation,"Graduate Student, University of Wisconsin - Madison"
2019,Meta-Reinforced Synthetic Data for One-Shot Fine-Grained Visual Recognition,Indiana University
2019,Learning-In-The-Loop Optimization: End-To-End Control And Co-Design Of Soft Robots Through Learned Deep Latent Representations,Massachusetts Institute of Technology
2019,Invariance and identifiability issues for word embeddings,Lancaster University
2019,PC-Fairness: A Unified Framework for Measuring Causality-based Fairness,Clemson University
2019,Worst-Case Regret Bounds for Exploration via Randomized Value Functions,Columbia University
2019,Glyce: Glyph-vectors for Chinese Character Representations,Shannon.AI
2019,Fast and Provable ADMM for Learning with Generative Priors,"PhD Student, EPFL"
2019,GRU-ODE-Bayes: Continuous Modeling of Sporadically-Observed Time Series,KU Leuven
2019,General E(2)-Equivariant Steerable CNNs,University of Amsterdam
2019,Learning nonlinear level sets for dimensionality reduction in function approximation,Oak Ridge National Laboratory
2019,Explaining Landscape Connectivity of Low-cost Solutions for Multilayer Nets,Stanford University
2019,Limitations of the empirical Fisher approximation for natural gradient descent,University of British Columbia
2019,"Fast, Provably convergent IRLS Algorithm for p-norm Linear Regression","PhD Student, Department of Computer Science, University of Toronto"
2019,Empirically Measuring Concentration: Fundamental Limits on Intrinsic Robustness,Princeton University
2019,Drill-down: Interactive Retrieval of Complex Scenes using Natural Language Queries,"Researcher, Samsung AI Center, Cambridge"
2019,Graph Agreement Models for Semi-Supervised Learning,"Research Scientist, Google"
2019,Generalization in Generative Adversarial Networks: A Novel Perspective from Privacy Protection,Peking University
2019,Model Similarity Mitigates Test Set Overuse,Massachusetts Institute of Technology
2019,Explicit Planning for Efficient Exploration in Reinforcement Learning,University of Science and Technology of China
2019,vGraph: A Generative Model for Joint Community Detection and Node Representation Learning,"Ph.D. student at Computer Science, Stanford University"
2019,Can Unconditional Language Models Recover Arbitrary Sentences?,Predoctoral Resident at AI2
2019,A Kernel Loss for Solving the Bellman Equation,UT Austin
2019,Covariate-Powered Empirical Bayes Estimation,"Statistics Department, Stanford University"
2019,AGEM: Solving Linear Inverse Problems via Deep Priors and Sampling,Tencent
2019,Devign: Effective Vulnerability Identification by Learning Comprehensive Program Semantics via Graph Neural Networks,Institute of computing technology
2019,Learning Robust Options by Conditional Value at Risk Optimization,NEC Central Research Laboratories
2019,Towards modular and programmable architecture search,Carnegie Mellon University
2019,A Prior of a Googol Gaussians: a Tensor Ring Induced Prior for Generative Models,"Senior Research Scientist, Insilico Medicine"
2019,Beating SGD Saturation with Tail-Averaging  and Minibatching,Technical University Brunswick
2019,Extending Stein's unbiased risk estimator to train deep denoisers with correlated pairs of noisy images,Graduate student
2019,Understanding the Role of Momentum in Stochastic Gradient Methods,"Applied Scientist, Microsoft"
2019,DAC: The Double Actor-Critic Architecture for Learning Options,University of Oxford
2019,Safe Exploration for Interactive Machine Learning,PhD at ETH Zurich
2019,Neuropathic Pain Diagnosis Simulator for Causal Discovery Algorithm Evaluation,KTH Royal Institute of Technology
2019,Parameter elimination in particle Gibbs sampling,"PhD student, Uppsala University"
2019,Understanding Sparse JL for Feature Hashing,"PhD Student, UC Berkeley"
